,shower,dt,dxy,E,em_scintillator_array,origin,muon_detector_array
297,298,6582,11072,2045,1455,14,123
298,299,10037,11804,809,601,14,49
299,300,161,9974,2051,1322,14,95
300,301,2262,9150,2804,1735,14,137
301,302,6565,8823,716,773,14,52
302,303,18103,9219,862,803,14,53
303,304,14006,7814,4542,1626,14,228
304,305,15079,11563,4547,837,14,107
305,306,6781,8041,4141,2337,14,151
306,307,267,10738,3981,1794,14,203
307,308,4993,10304,4695,989,14,99
308,309,5896,8698,1226,1027,14,92
309,310,13501,5858,1297,1225,14,60
310,311,27731,8285,2067,1822,14,44
311,312,11658,7655,2844,1647,14,160
312,313,4288,11368,1521,692,14,55
313,314,36804,7775,1393,922,14,55
314,315,4195,12038,556,676,14,37
315,316,29443,9208,1462,670,14,43
316,317,38664,7936,2224,1259,14,117
317,318,7370,12360,1976,920,14,77
318,319,2494,11527,1859,897,14,78
319,320,3019,10459,1453,844,14,77
320,321,802,9401,2335,1408,14,128
321,322,46513,7960,654,1076,14,50
322,323,8424,9359,1585,1226,14,72
323,324,12777,8051,4677,1120,14,54
324,325,2155,7754,1110,1386,14,77
325,326,2179,7550,1299,1287,14,57
326,327,8767,8890,3995,1136,14,54
327,328,16282,8847,733,1553,14,50
328,329,7006,11500,1169,637,14,64
329,330,955,6141,1008,1605,14,39
330,331,11356,9068,1487,515,14,35
331,332,21600,9448,3028,1059,14,70
332,333,29831,8255,1099,1042,14,39
333,334,8968,13158,1449,559,14,46
334,335,7991,7110,1006,1667,14,49
335,336,1703,7955,940,847,14,58
336,337,274,8422,2709,1230,14,48
337,338,3749,9489,907,977,14,54
338,339,27524,9311,874,692,14,76
339,340,24889,7751,1040,706,14,51
340,341,6036,8191,1252,1210,14,67
341,342,3328,10655,1687,1631,14,116
342,343,41843,8784,2737,717,14,16
343,344,11524,8096,2835,1101,14,96
344,345,11555,6185,1847,1443,14,49
345,346,49390,9858,567,610,14,59
346,347,36700,9595,638,260,14,51
347,348,14299,8207,3754,3200,14,240
348,349,6447,12396,1653,839,14,74
349,350,44239,9198,938,660,14,56
