,shower,dt,dxy,E,em_scintillator_array,origin,muon_detector_array
308,309,34,5648,46,457,1,2
309,310,53,5891,112,1041,1,6
310,311,35,7564,105,1282,1,0
311,312,43,7283,84,842,1,2
312,313,60,8392,36,387,1,2
313,314,38,8003,43,583,1,0
314,315,46,9581,58,526,1,1
315,316,82,6434,44,436,1,1
316,317,31,7237,34,409,1,0
317,318,32,7973,33,330,1,1
318,319,32,9986,92,338,1,3
319,320,48,7159,46,523,1,2
320,321,41,6968,55,611,1,1
321,322,37,6536,88,872,1,3
322,323,35,7908,116,1015,1,3
323,324,45,10674,37,406,1,0
324,325,40,6584,106,899,1,2
325,326,45,5054,89,972,1,1
326,327,42,7226,111,987,1,5
327,328,38,8231,183,1263,1,10
328,329,36,8371,27,322,1,0
329,330,34,5383,128,1455,1,2
330,331,31,2409,15,122,1,1
331,332,39,8743,96,517,1,2
332,333,38,6955,90,882,1,2
333,334,41,8825,44,401,1,1
334,335,37,6127,164,1531,1,5
335,336,32,5371,58,597,1,1
336,337,36,6926,120,1059,1,6
337,338,40,7797,71,740,1,2
338,339,61,8618,29,396,1,1
339,340,33,4418,58,486,1,1
340,341,39,6379,72,698,1,3
341,342,40,8750,105,923,1,4
342,343,31,6443,48,510,1,1
343,344,45,7069,57,592,1,0
344,345,36,4661,162,1294,1,6
345,346,33,8305,30,295,1,1
346,347,52,3055,23,132,1,3
347,348,36,6422,201,1749,1,9
348,349,43,9102,39,470,1,0
349,350,41,8947,32,421,1,1
